passage_id,instance_id,work_id,passage_index,source_work_title,source_author
000481208.001.00001.txt,481208.001,481208,1,A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies / Tr. from the French by J. Justamond v.1,"Raynal, (Guillaume-Thomas-Fran̤ois), abb̩"
000481208.001.00002.txt,481208.001,481208,2,A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies / Tr. from the French by J. Justamond v.1,"Raynal, (Guillaume-Thomas-Fran̤ois), abb̩"
000481208.001.00003.txt,481208.001,481208,3,A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies / Tr. from the French by J. Justamond v.1,"Raynal, (Guillaume-Thomas-Fran̤ois), abb̩"
000481208.001.00004.txt,481208.001,481208,4,A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies / Tr. from the French by J. Justamond v.1,"Raynal, (Guillaume-Thomas-Fran̤ois), abb̩"
001119550.000.00001.txt,1119550,1119550,1,"An inquiry into the effects of putting a stop to the African slave trade, and of granting liberty to the slaves in the British sugar colonies","Ramsay, James"
001119550.000.00002.txt,1119550,1119550,2,"An inquiry into the effects of putting a stop to the African slave trade, and of granting liberty to the slaves in the British sugar colonies","Ramsay, James"
001119550.000.00003.txt,1119550,1119550,3,"An inquiry into the effects of putting a stop to the African slave trade, and of granting liberty to the slaves in the British sugar colonies","Ramsay, James"
001119550.000.00004.txt,1119550,1119550,4,"An inquiry into the effects of putting a stop to the African slave trade, and of granting liberty to the slaves in the British sugar colonies","Ramsay, James"
001742015.000.00001.txt,1742015,1742015,1,"Report of the Lords of the Committee of Council appointed for the Consideration of all Matters relating to Trade and Foreign Plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of his Majesty's order in Council, dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; and concerning the effects and consequences of this trade, as well in Africa and the West Indies, as to the general commerce of this kingdom.",Great Britain. Board of Trade.
001742015.000.00002.txt,1742015,1742015,2,"Report of the Lords of the Committee of Council appointed for the Consideration of all Matters relating to Trade and Foreign Plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of his Majesty's order in Council, dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; and concerning the effects and consequences of this trade, as well in Africa and the West Indies, as to the general commerce of this kingdom.",Great Britain. Board of Trade.
001742015.000.00003.txt,1742015,1742015,3,"Report of the Lords of the Committee of Council appointed for the Consideration of all Matters relating to Trade and Foreign Plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of his Majesty's order in Council, dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; and concerning the effects and consequences of this trade, as well in Africa and the West Indies, as to the general commerce of this kingdom.",Great Britain. Board of Trade.
001742015.000.00004.txt,1742015,1742015,4,"Report of the Lords of the Committee of Council appointed for the Consideration of all Matters relating to Trade and Foreign Plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of his Majesty's order in Council, dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; and concerning the effects and consequences of this trade, as well in Africa and the West Indies, as to the general commerce of this kingdom.",Great Britain. Board of Trade.
001742015.000.00005.txt,1742015,1742015,5,"Report of the Lords of the Committee of Council appointed for the Consideration of all Matters relating to Trade and Foreign Plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of his Majesty's order in Council, dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; and concerning the effects and consequences of this trade, as well in Africa and the West Indies, as to the general commerce of this kingdom.",Great Britain. Board of Trade.
001742041.001.00001.txt,1742041.001,1742041,1,"The history of the rise, progress, & accomplishment of the abolition of the African slave-trade, by the British Parliament / By Thomas Clarkson. M. A. ... v.1","Clarkson, Thomas"
001742041.001.00002.txt,1742041.001,1742041,2,"The history of the rise, progress, & accomplishment of the abolition of the African slave-trade, by the British Parliament / By Thomas Clarkson. M. A. ... v.1","Clarkson, Thomas"
001742041.001.00003.txt,1742041.001,1742041,3,"The history of the rise, progress, & accomplishment of the abolition of the African slave-trade, by the British Parliament / By Thomas Clarkson. M. A. ... v.1","Clarkson, Thomas"
001742041.001.00004.txt,1742041.001,1742041,4,"The history of the rise, progress, & accomplishment of the abolition of the African slave-trade, by the British Parliament / By Thomas Clarkson. M. A. ... v.1","Clarkson, Thomas"
001742041.001.00005.txt,1742041.001,1742041,5,"The history of the rise, progress, & accomplishment of the abolition of the African slave-trade, by the British Parliament / By Thomas Clarkson. M. A. ... v.1","Clarkson, Thomas"
001742041.001.00006.txt,1742041.001,1742041,6,"The history of the rise, progress, & accomplishment of the abolition of the African slave-trade, by the British Parliament / By Thomas Clarkson. M. A. ... v.1","Clarkson, Thomas"
